 55
  -1.35853 -10.44663  -1.23188 -10.84152  -1.11675 -11.19307  -1.01314 -11.50257
  -0.90952 -11.80484  -0.81742 -12.06677  -0.72531 -12.32175  -0.63321 -12.56908
  -0.55262 -12.77877  -0.54111 -12.80871  -0.47203 -12.98281  -0.46052 -13.01181
  -0.39144 -13.18048  -0.37993 -13.20858  -0.31085 -13.37153  -0.29934 -13.39867
  -0.23026 -13.55310  -0.21875 -13.57882  -0.13816 -13.75304  -0.11513 -13.80279
   0.18421 -14.43386   0.24177 -14.55176   0.26480 -14.59889   0.32236 -14.71185
   0.34539 -14.75701   0.39144 -14.84272   0.41447 -14.88553   0.44900 -14.94574
   0.47203 -14.98585   0.50657 -15.04250   0.54111 -15.09911   0.55262 -15.11637
   0.61019 -15.20260   0.80590 -15.49028   0.81742 -15.50719   0.93255 -15.66966
   0.94406 -15.68589   1.07070 -15.85756   1.08221 -15.87316   1.22037 -16.05387
   1.23188 -16.06892   1.38629 -16.26359   1.40458 -16.28663   1.56576 -16.48298
   1.58878 -16.51102   1.77299 -16.72831   1.79602 -16.75546   2.00325 -16.99248
   2.03779 -17.03196   2.25653 -17.27533   2.29107 -17.31374   2.54436 -17.58914
   2.56495 -17.61153   2.91277 -17.98166   2.93580 -18.00616   3.26967 -18.35461
   3.30421 -18.39066   3.73019 -18.82931   3.77624 -18.87672   4.42096 -19.53233
   4.46702 -19.57915   5.11174 -20.22943   5.15779 -20.27588   6.49329 -21.61547
   6.53934 -21.66166  11.51293 -26.63665
 102
  -6.98835   9.34604  -6.87322   9.00514  -6.78111   8.73229  -6.70052   8.49045
  -6.57128   8.10245  -6.51632   7.93532  -6.36665   7.48002  -6.30908   7.30277
  -6.17093   6.87719  -6.11336   6.69787  -5.97521   6.26731  -5.90613   6.04974
  -5.75646   5.57813  -5.72192   5.46833  -5.56074   4.95569  -5.50318   4.77075
  -5.31897   4.17871  -5.27292   4.02932  -5.06569   3.35683  -5.01964   3.20613
  -4.78938   2.45237  -4.75484   2.33840  -4.49004   1.46429  -4.46701   1.38771
  -4.15617   0.35374  -4.13314   0.27666  -3.77624  -0.91842  -3.76473  -0.95717
  -3.35026  -2.35257  -3.30421  -2.50763  -2.65949  -4.68404  -2.61343  -4.83948
  -2.32561  -5.80765  -2.29107  -5.92380  -2.02627  -6.80713  -1.99174  -6.92231
  -1.83056  -7.45449  -1.80753  -7.53048  -1.65786  -8.01844  -1.64635  -8.05596
  -1.49668  -8.53754  -1.48517  -8.57456  -1.35853  -8.97540  -1.23188  -9.36893
  -1.11675  -9.71960  -1.01314 -10.02843  -0.90952 -10.32998  -0.81742 -10.59125
  -0.72531 -10.84571  -0.63321 -11.09284  -0.55262 -11.30233  -0.54111 -11.33222
  -0.47203 -11.50615  -0.46052 -11.53510  -0.39144 -11.70333  -0.37993 -11.73134
  -0.31085 -11.89397  -0.29934 -11.92104  -0.22314 -12.09424  -0.21875 -12.10421
  -0.12664 -12.30372   0.01151 -12.59345   0.04605 -12.66486   0.17269 -12.92658
   0.18421 -12.94961   0.26480 -13.11060   0.27631 -13.13271   0.33387 -13.24310
   0.34539 -13.26418   0.40547 -13.37400   0.41447 -13.38947   0.47203 -13.48817
   0.48354 -13.50685   0.55262 -13.61864   0.56413 -13.63632   0.63321 -13.74217
   0.64472 -13.75923   0.80590 -13.99779   0.93255 -14.17792   1.07070 -14.36696
   1.22037 -14.56421   1.38629 -14.77497   1.56576 -14.99533   1.76148 -15.22788
   2.00325 -15.50649   2.24502 -15.77778   2.25653 -15.79034   2.56738 -16.12915
   2.57890 -16.14144   2.91277 -16.49740   2.92428 -16.50945   3.31572 -16.91881
   3.33220 -16.93578   3.86834 -17.48736   3.90288 -17.52247   4.55912 -18.18927
   4.59366 -18.22408   5.24989 -18.88532   5.28443 -18.91997   6.63144 -20.27124
   6.66598 -20.30579  11.51293 -25.15360
 210
  -6.94229  10.09935  -6.83868   9.80077  -6.79263   9.66798  -6.71204   9.43280
  -6.67750   9.33201  -6.65447   9.26477  -6.61993   9.16391  -6.51632   8.85738
  -6.49329   8.78921  -6.42421   8.58470  -6.41270   8.55061  -6.34362   8.34349
  -6.19395   7.89445  -6.14790   7.75462  -6.11336   7.64974  -6.10185   7.61476
  -5.98672   7.26500  -5.91764   7.05270  -5.90613   7.01732  -5.88310   6.94651
  -5.76798   6.59250  -5.70442   6.39485  -5.69890   6.37767  -5.67587   6.30602
  -5.56074   5.94778  -5.52620   5.83911  -5.49167   5.73044  -5.48015   5.69419
  -5.34200   5.25928  -5.31897   5.18606  -5.29832   5.12039  -5.26141   5.00295
  -5.11174   4.52676  -5.10023   4.48977  -5.07720   4.41581  -5.05417   4.34182
  -4.86997   3.74984  -4.84694   3.67517  -4.81240   3.56313  -4.60517   2.89085
  -4.52458   2.62711  -4.34037   2.02426  -4.32886   1.98657  -4.28281   1.83465
  -4.16768   1.45485  -4.05255   1.07506  -4.01801   0.96108  -3.73019   0.00476
  -3.67262  -0.18657  -3.52296  -0.68697  -3.33875  -1.30285  -3.30421  -1.41836
  -3.22362  -1.68888  -3.21211  -1.72752  -2.98185  -2.50042  -2.95882  -2.57771
  -2.75159  -3.27332  -2.72856  -3.35061  -2.64797  -3.62112  -2.61343  -3.73705
  -2.56738  -3.89117  -2.54436  -3.96823  -2.39469  -4.46913  -2.38318  -4.50766
  -2.29107  -4.81590  -2.24502  -4.96881  -2.22199  -5.04526  -2.19897  -5.12169
  -2.09535  -5.46559  -2.06081  -5.58023  -2.03779  -5.65665  -1.99174  -5.80849
  -1.95720  -5.92231  -1.93417  -5.99819  -1.83056  -6.33965  -1.81904  -6.37759
  -1.80753  -6.41508  -1.79602  -6.45257  -1.71543  -6.71488  -1.69240  -6.78983
