12
************************************************************************
 $Id: eii_ik.data,v 1.3 2011/04/12 22:17:51 mainegra Exp $
************************************************************************
Electron Impact Ionization cross sections for K, LI, LII and LIII shells
with binding energies above 1 keV in barn/atom.
Energy range: binding energy ... 10 GeV
Equidistant bins on a logarithmic grid.
The Kawrakow theory has been used to calculate the data.
Format is: max. energy, number of points 
For each element: Z, number of shells with U > 1 keV
For each such shell: global cross section maximum
                     N data points sigma/sigma_max
 0.59787 0.57710 0.55684 0.53713 0.51797 0.49938 0.48137 0.46396 0.44713 0.43089
 0.41525 0.40019 0.38570 0.37179 0.35844 0.34565 0.33339 0.32166 0.31045 0.29974
 0.28952 0.27978 0.27050 0.26167 0.25327 0.24530 0.23773 0.23056 0.22378 0.21736
 0.21129 0.20557 0.20019 0.19512 0.19036 0.18590 0.18172 0.17782 0.17419 0.17081
 0.16768 0.16478 0.16211 0.15967 0.15743 0.15540 0.15356 0.15191 0.15044 0.14915
 0.14802 0.14705 0.14623 0.14556 0.14504 0.14464 0.14438 0.14424 0.14422 0.14431
 0.14451 0.14481 0.14521 0.14570 0.14628 0.14694 0.14769 0.14851 0.14940 0.15035
 0.15138 0.15246 0.15360 0.15479 0.15603 0.15732 0.15865 0.16002 0.16144 0.16289
 0.16437 0.16588 0.16743 0.16900 0.17060 0.17222 0.17386 0.17553 0.17721 0.17891
 0.18063 0.18237 0.18411 0.18588 0.18765 0.18944 0.19123 0.19304 0.19485 0.19668
 0.19851 0.20035 0.20219 0.20405 0.20590 0.20777 0.20964 0.21151 0.21339 0.21527
 0.21715 0.21904 0.22093 0.22283 0.22473 0.22663 0.22853 0.23043 0.23234 0.23425
 0.23616 0.23807 0.23999 0.24190 0.24382 0.24574 0.24766 0.24958 0.25150 0.25342
 0.25535 0.25727 0.25920 0.26112 0.26305 0.26498 0.26690 0.26883 0.27076 0.27269
 0.27462 0.27655 0.27848 0.28041 0.28234 0.28427 0.28621 0.28814 0.29007 0.29200
 0.29394 0.29587 0.29780 0.29974 0.30167 0.30361 0.30554 0.30748 0.30941 0.31134
 0.31328 0.31521 0.31715 0.31908 0.32102 0.32296 0.32489 0.32683 0.32876 0.33070
 0.33263 0.33457 0.33651 0.33844 0.34038 0.34231 0.34425 0.34619 0.34812 0.35006
 0.35199 0.35393 0.35587 0.35780 0.35974 0.36168 0.36361 0.36555 0.36749 0.36942
 0.37136 0.37330 0.37523 0.37717 0.37911 0.38104 0.38298 0.38492 0.38685 0.38879
 0.39073 0.39266 0.39460 0.39654 0.39847 0.40041 0.40235 0.40428 0.40622 0.40816
 17 1
   4507.212    
 0.04401 0.11845 0.20511 0.29611 0.38678 0.47413 0.55625 0.63192 0.70043 0.76142
 0.81479 0.86065 0.89925 0.93086 0.95589 0.97481 0.98811 0.99629 0.99982 0.99919
 0.99486 0.98726 0.97681 0.96389 0.94886 0.93203 0.91371 0.89417 0.87363 0.85232
 0.83043 0.80814 0.78559 0.76291 0.74023 0.71764 0.69524 0.67309 0.65127 0.62982
 0.60880 0.58825 0.56819 0.54865 0.52966 0.51122 0.49334 0.47605 0.45933 0.44320
